Ранг ГЛ;Ранг РУ;Уровень;По-английски;По-французски;Инфинитив;Подробности;Разговорный;Неправильный;Группа ;Суффикс спряжения;Совершенный вид;Пара аспектов;Возвратный;Действительный;Я;Ты;Он/Она/Оно;Мы;Вы;Они;Повелительное накл. 1;Повелительное накл. 2;Деепричастие Наст. время;Деепричастие Прош. время;Действит. причастие Наст. время;Действит. причастие Прош. время;Страдат. причастие Наст. время;Страдат. причастие Прош. время;Скрытый1-unwantedToExport;Скрытый2-genericFirstTrans
1;10;A1;"be; happen";"être; exister";быть;;;неправ.;;;несовер.;;;действит.;есть;есть;есть;есть;есть;есть;будь;будьте;будучи;быв;;бывший;;;;
2;29;A1;"be able; can";"être capable; pouvoir";мочь;;;неправ.;;К,Г;несовер.;мочь/смочь;;действит.;могу;можешь;может;можете;можем;могут;моги;могите;;могши;могущий;могший;могущий;могший;;
3;45;A1;"say; tell";dire;сказать;;;;1;А;совер.;говорить/сказать;;;скажу;скажешь;скажет;скажете;скажем;скажут;скажи;скажите;;сказав;;сказавший;;сказанный;;
4;48;A1;"be able to speak; talk";"parler; causer";говорить;;;;2;И;несовер.;говорить/сказать;;;говорю;говоришь;говорит;говорите;говорим;говорят;говори;говорите;говоря;говорив;говорящий;говоривший;;;;
5;49;A1;"know; be aware (of)";"connaître; savoir";знать;;;;1;АЙ;несовер.;;;;знаю;знаешь;знает;знаете;знаем;знают;знай;знайте;зная;знав;знающий;знавший;;;;
6;61;A1;"want; like";"vouloir; avoir envie (de)";хотеть;;;неправ.;;;несовер.;хотеть/захотеть;;;хочу;хочешь;хочет;хотите;хотим;хотят;;;хотя;хотев;хотящий;хотевший;;;;
7;70;A1;"have; possess";avoir;иметь;;;;1;ЕЙ;несовер.;;;;имею;имеешь;имеет;имеете;имеем;имеют;имей;имейте;имея;имев;имеющий;имевший;;;;
8;85;A1;make;faire;сделать;;;;1;АЙ;совер.;делать/сделать;;;сделаю;сделаешь;сделает;сделаете;сделаем;сделают;сделай;сделайте;;сделав;;сделавший;;сделанный;;
9;86;A1;"go; come";"aller; venir";идти;;;неправ.;;;несовер.;идти/пойти;;действит.;иду;идёшь;идёт;идёте;идём;идут;иди;идите;идя;шедши;идущий;шедший;идущий;шедший;;
10;88;A1;make;faire;делать;;;;1;АЙ;несовер.;делать/сделать;;;делаю;делаешь;делает;делаете;делаем;делают;делай;делайте;делая;делав;делающий;делавший;делаемый;деланный;;
11;91;A1;see;voir;видеть;;;;2;Е;несовер.;видеть/увидеть;;;вижу;видишь;видит;видите;видим;видят;;;видя;видев;видящий;видевший;видимый;виденный;;
12;92;A1;think (about, of);"penser (à); songer";думать;;;;1;АЙ;несовер.;думать/подумать;;;думаю;думаешь;думает;думаете;думаем;думают;думай;думайте;думая;думав;думающий;думавший;думающий;думавший;;
13;98;A1;"work; function";travailler;работать;;;;1;АЙ;несовер.;;;;работаю;работаешь;работает;работаете;работаем;работают;работай;работайте;работая;работав;работающий;работавший;работающий;работавший;;
14;100;A1;"live; reside";vivre;жить;;;неправ.;;В;несовер.;;;;живу;живёшь;живёт;живёте;живём;живут;живи;живите;живя;жив;живущий;живший;;;;
15;106;A1;"look; look (at)";"regarder; envisager";смотреть;;;;;;несовер.;смотреть/посмотреть;;;смотрю;смотришь;смотрит;смотрите;смотрим;смотрят;смотри;смотрите;смотря;смотрев;смотрящий;смотревший;;смотренный;;
16;112;A1;"understand; comprehend";"comprendre; concevoir";понимать;;;;1;АЙ;несовер.;понимать/понять;;;понимаю;понимаешь;понимает;понимаете;понимаем;понимают;понимай;понимайте;понимая;понимав;понимающий;понимавший;понимаемый;;;
10000;10000;A1;"understand; comprehend";"comprendre; saisir";понять;;;неправ.;;;совер.;понимать/понять;;;пойму;поймёшь;поймёт;поймёте;поймём;поймут;пойми;поймите;;поняв, *понявши;;понявший;;понятый;;
17;118;A1;begin;"aller; (re)venir";пойти;;;неправ.;;;совер.;идти/пойти;;действит.;пойду;пойдёшь;пойдёт;пойдёте;пойдём;пойдут;пойди;пойдите;;;;пошедший;;;;
18;119;A1;love;"aimer; chérir";любить;;;;;;несовер.;;;;люблю;любишь;любит;любите;любим;любят;люби;любите;любя;любив;любящий;любивший;;любленный;;
19;126;A1;write;"écrire; dactylographier";писать;;;;;;несовер.;писать/написать;;;пишу;пишешь;пишет;пишете;пишем;пишут;пиши;пишите;;писав;пишущий;писавший;;писанный;;
20;127;A1;"sit; be perched";"être assis; être perché";сидеть;;;;1;Б,Д,Т;несовер.;;;;сижу;сидишь;сидит;сидите;сидим;сидят;сиди;сидите;сидя;сидев;сидящий;сидевший;сидящий;сидевший;;
21;129;A1;stand;"se tenir debout; être debout";стоять;;;;2;Й-А;несовер.;;;действит.;стою;стоишь;стоит;стоите;стоим;стоят;стой;стойте;стоя;стояв;стоящий;стоявший;стоящий;стоявший;;
22;131;A1;cost;"coûter; valoir";стоить;;;;;;несовер.;;;действит.;стою;стоишь;стоит;стоите;стоим;стоят;стой;стойте;стоя;стоив;стоящий;стоивший;стоящий;стоивший;;
23;138;A1;give;"donner; prêter";давать;;;;1;ДА, СТА-ЗНА;несовер.;давать/дать;;;даю;даёшь;даёт;даёте;даём;дают;давай;давайте;давая;давав;дающий;дававший;даваемый;;;
